Row number,Accredited entity,Operating name,Provider type,Provider code,Accreditation ID,UKPRN,URN,Accreditation type,Start date,,,
31,Education Management Direct Limited,Educate Group Initial Teacher Training,SCITT,E65,5587,10035411,,Accredited Provider,01/08/2025,,,
32,Education South West,SWIFT Teacher Training,SCITT,3S3,5735,10058417,,Accredited Provider,01/08/2025,,,
33,Epping Forest Schools Partnership Trust,West Essex SCITT,SCITT,2BB,5707,10067433,,Accredited Provider,01/08/2025,,,
34,e Qualitas Professional Services,e Qualitas,SCITT,E69,5585,10046623,,Accredited Provider,01/08/2025,,,
35,Essex and Thames Education,Essex and Thames SCITT,SCITT,T25,5543,10092263,,Accredited Provider,01/08/2025,,,
36,Exceed Academies Trust,Exceed SCITT,SCITT,2EY,5714,10064216,,Accredited Provider,01/08/2025,,,
37,Farnborough College of Technology,University Centre Farnborough,SCITT,2F3,5725,10002412,,Accredited Provider,01/08/2025,,,
38,Future Academies,Future Teacher Training,SCITT,P58,5633,10043978,,Accredited Provider,01/08/2025,,,
39,"Goldsmiths, University of London","Goldsmiths, University of London",HEI,G56,1511,10002718,,Accredited Provider,01/08/2025,,,
40,GORSE Academies Trust,GORSE SCITT,SCITT,1N1,5658,10055363,,Accredited Provider,01/08/2025,,,
41,Great Academies Education Trust,Pioneers Partnership SCITT,SCITT,1Z8,5678,10058215,,Accredited Provider,01/08/2025,,,
42,Great Heights Trust,AA Teamworks West Yorkshire SCITT,SCITT,2AT,5697,10032342,,Accredited Provider,01/08/2025,,,
43,Harrison Primary School,Fareham and Gosport Primary SCITT,SCITT,25M,5681,10048033,,Accredited Provider,01/08/2025,,,
44,HISP Multi Academy Trust,Inspiring Future Teachers,SCITT,3Y3,5738,10058640,,Accredited Provider,01/08/2025,,,
45,Holmes Chapel Comprehensive School,Cheshire East SCITT,SCITT,25Q,5680,10035146,,Accredited Provider,01/08/2025,,,
46,Holy Family Catholic Primary School,Primary Catholic Partnership SCITT,SCITT,P85,5533,10045987,,Accredited Provider,01/08/2025,,,
47,Impact MAT,Bromley Schools' Collegiate,SCITT,B91,5507,10059069,,Accredited Provider,01/08/2025,,,
48,Inspiring Futures Partnership Trust,Chepping View Primary Academy SCITT,SCITT,24S,5664,10059665,,Accredited Provider,01/08/2025,,,
49,Inspiring Leaders Ltd,Inspiring Leaders Teacher Training,SCITT,3A1,5642,10088528,,Accredited Provider,01/08/2025,,,
50,King Edward VI Academy Trust Birmingham,King Edward's Consortium,SCITT,K50,5591,10065300,,Accredited Provider,01/08/2025,,,
51,King's College London,King's College London,HEI,K60,1515,10003645,,Accredited Provider,01/08/2025,,,
52,Kingston University Higher Education Corporation,Kingston University,HEI,K84,1516,10003678,,Accredited Provider,01/08/2025,,,
53,Leeds Beckett University,Leeds Beckett University,HEI,L27,1517,10003861,,Accredited Provider,01/08/2025,,,
54,Leeds Trinity University,Leeds Trinity University,HEI,L24,1532,10003863,,Accredited Provider,01/08/2025,,,
55,Leigh Academies Trust,Kent and Medway Training KMT,SCITT,K30,5521,10052832,,Accredited Provider,01/08/2025,,,
56,Lincoln Bishop University,Lincoln Bishop University,HEI,B38,1503,10007811,,Accredited Provider,01/08/2025,,,
57,Liverpool Hope University,Liverpool Hope University,HEI,L46,1518,10003956,,Accredited Provider,01/08/2025,,,
58,Liverpool John Moores University,Liverpool John Moores University,HEI,L51,1519,10003957,,Accredited Provider,01/08/2025,,,
59,London Metropolitan University,London Metropolitan University,HEI,L68,1520,10004048,,Accredited Provider,01/08/2025,,,
60,London School of Jewish Studies,London School of Jewish Studies (LSJS),SCITT,28T,5501,10029147,,Accredited Provider,01/08/2025,,,
61,Loughborough University,Loughborough University,HEI,L79,1521,10004113,,Accredited Provider,01/08/2025,,,
62,Lydiate Learning Trust,Associated Merseyside Partnership SCITT,SCITT,25F,5670,10055360,,Accredited Provider,01/08/2025,,,
63,Manchester Metropolitan University,Manchester Metropolitan University,HEI,M40,1522,10004180,,Accredited Provider,01/08/2025,,,
64,Matrix Academy Trust,Barr Beacon SCITT,SCITT,2AX,5694,10053216,,Accredited Provider,01/08/2025,,,
65,Meridian Trust,The Cambridge Partnership,SCITT,C03,5602,10053421,,Accredited Provider,01/08/2025,,,
66,Middlesex University,Middlesex University,HEI,M80,1571,10004351,,Accredited Provider,01/08/2025,,,
67,Mulberry Schools Trust,Mulberry College of Teaching,SCITT,5V5,5727,10064234,,Accredited Provider,01/08/2025,,,
68,North Lincolnshire Council,North Lincolnshire SCITT Partnership,SCITT,N66,5590,10004694,,Accredited Provider,01/08/2025,,,
69,Northampton School for Boys,Northampton Teacher Training Partnership,SCITT,N42,5527,10031382,,Accredited Provider,01/08/2025,,,
70,Notre Dame High School,The Sheffield SCITT,SCITT,S97,5647,10037587,,Accredited Provider,01/08/2025,,,
71,Nottingham Trent University,Nottingham Trent University,HEI,N91,1524,10004797,,Accredited Provider,01/08/2025,,,
72,Nova Education Trust,Nottinghamshire Torch SCITT,SCITT,254,5662,10055362,,Accredited Provider,01/08/2025,,,
73,Oakthorpe Primary School,2Schools Consortium,SCITT,T92,5606,10045988,,Accredited Provider,01/08/2025,,,
74,Oxford Brookes University,Oxford Brookes University,HEI,O66,1526,10004930,,Accredited Provider,01/08/2025,,,
75,Partnership Learning,Partnership London SCITT (PLS),SCITT,2B1,5699,10053276,,Accredited Provider,01/08/2025,,,
76,Pele Trust,North Tyneside SCITT,SCITT,N73,5567,10082114,,Accredited Provider,01/08/2025,,,
77,Prestolee Multi Academy Trust,Prestolee SCITT,SCITT,2AS,5685,10055218,,Accredited Provider,01/08/2025,,,
78,REAch2 Academy Trust,REAch Teach Primary Partnership,SCITT,1QU,5729,10060390,,Accredited Provider,01/08/2025,,,
79,Red Kite Learning Trust,Red Kite Teacher Training,SCITT,2B9,5706,10054307,,Accredited Provider,01/08/2025,,,
80,River Learning Trust,OTT SCITT,SCITT,24T,5669,10059630,,Accredited Provider,01/08/2025,,,
81,Roehampton University,University of Roehampton,HEI,R48,1563,10007776,,Accredited Provider,01/08/2025,,,
82,Royal Latin School,Buckingham Partnership,SCITT,B71,5622,10035071,,Accredited Provider,01/08/2025,,,
83,School Led Development Trust,National Institute of Teaching,SCITT,2N2,5728,10090839,,Accredited Provider,01/08/2025,,,
84,Severn Academies Educational Trust,Stourport SCITT,SCITT,S95,5634,10058732,,Accredited Provider,01/08/2025,,,
85,Shaw Education Trust,Keele and North Staffordshire Teacher Education,SCITT,24J,5653,10060817,,Accredited Provider,01/08/2025,,,
86,Sheffield Hallam University,Sheffield Hallam University,HEI,S21,1527,10005790,,Accredited Provider,01/08/2025,,,
87,Sidney Stringer Multi Academy Trust,The Coventry SCITT,SCITT,2A7,5691,10058243,,Accredited Provider,01/08/2025,,,
88,Somerset Council,Somerset SCITT,SCITT,S31,5538,10005959,,Accredited Provider,01/08/2025,,,
89,South Pennine Academies,Huddersfield Horizon SCITT,SCITT,2EX,5713,10058690,,Accredited Provider,01/08/2025,,,
90,St Edmund’s Nursery School,Bradford Birth to 19 SCITT,SCITT,259,5672,10047807,,Accredited Provider,01/08/2025,,,
91,St Mary & St Paul's CofE Primary School,Mersey Boroughs ITT Partnership,SCITT,1X8,5641,10045107,,Accredited Provider,01/08/2025,,,
92,St Mary's College,Vantage North Humber Teacher Training,SCITT,2V1,5730,10063694,,Accredited Provider,01/08/2025,,,
93,St Mary's University,St Mary's University,HEI,S64,1530,10007843,,Accredited Provider,01/08/2025,,,
94,St Paul's Catholic High School,The Tommy Flowers SCITT,SCITT,1YK,5645,10006289,,Accredited Provider,01/08/2025,,,
95,Stockton On Tees Borough Council,Stockton SCITT,SCITT,S60,5607,10006337,,Accredited Provider,01/08/2025,,,
96,Suffolk County Council,"Norfolk, Essex and Suffolk Teacher Training (NESTT)",SCITT,S14,5541,10006399,,Accredited Provider,01/08/2025,,,
97,Summit Learning Trust,South Birmingham SCITT,SCITT,N32,5611,10058342,,Accredited Provider,01/08/2025,,,
98,South Farnham Educational Trust,Surrey South Farnham SCITT,SCITT,13S,5579,10054050,,Accredited Provider,01/08/2025,,,
99,Teach First,Teach First,SCITT,1TF,5719,10024318,,Accredited Provider,01/08/2025,,,
100,TEACH Poole,Poole SCITT,SCITT,P75,5505,10057353,,Accredited Provider,01/08/2025,,,
101,Ted Wragg Multi Academy Trust,Ted Wragg Teacher Training Partnership,SCITT,S66,5540,10060466,,Accredited Provider,01/08/2025,,,
102,Teesside University,Teesside University ITT,HEI,3S1,1587,10007161,,Accredited Provider,01/08/2025,,,
103,Tes Institute Limited,Tes Institute,SCITT,H40,5708,10035578,,Accredited Provider,01/08/2025,,,
104,The Alpha Trust,Colchester Teacher Training Consortium,SCITT,2DB,5509,10035498,,Accredited Provider,01/08/2025,,,
105,The Arthur Terry Learning Partnership,Arthur Terry SCITT,SCITT,A67,5583,10034759,,Accredited Provider,01/08/2025,,,
106,The Balcarras Trust,Gloucestershire Initial Teacher Education Partnership,SCITT,G48,5518,10034789,,Accredited Provider,01/08/2025,,,
107,The Bay Learning Trust,Ripley ITT,SCITT,R23,5648,10058677,,Accredited Provider,01/08/2025,,,
108,The Cam Academy Trust,"Cambridge Training Schools Network, CTSN SCITT",SCITT,1WO,5630,10055220,,Accredited Provider,01/08/2025,,,
109,The Compton School,Compton SCITT,SCITT,1X7,5644,10058414,,Accredited Provider,01/08/2025,,,
110,The Cranmer Education Trust,Manchester Nexus SCITT,SCITT,2EU,5710,10058966,,Accredited Provider,01/08/2025,,,
111,The Dean Trust,Ashton on Mersey School SCITT,SCITT,24L,5638,10055366,,Accredited Provider,01/08/2025,,,
112,The Eden Learning Trust,Durham SCITT,SCITT,D87,5573,10067657,,Accredited Provider,01/08/2025,,,
113,The Education Alliance,Yorkshire Wolds Teacher Training,SCITT,2EV,5712,10058551,,Accredited Provider,01/08/2025,,,
114,The Four Stones Multi Academy Trust,Haybridge SCITT,SCITT,2B3,5701,10058796,,Accredited Provider,01/08/2025,,,
115,The Grand Union Training Partnership,The Grand Union Training Partnership,SCITT,G60,5519,10058513,,Accredited Provider,01/08/2025,,,
116,The John Taylor MAT,The John Taylor SCITT,SCITT,24V,5667,10057362,,Accredited Provider,01/08/2025,,,
117,The Kemnal Academies Trust,TKAT SCITT,SCITT,K13,5578,10058343,,Accredited Provider,01/08/2025,,,
118,The LETTA Trust,London East Teacher Training Alliance (LETTA),SCITT,133,5663,10064599,,Accredited Provider,01/08/2025,,,
119,The Mead Educational Trust,Leicester and Leicestershire SCITT,SCITT,L33,5584,10055113,,Accredited Provider,01/08/2025,,,
120,The Priory Federation of Academies Trust,Lincolnshire ITT,SCITT,25G,5676,10058228,,Accredited Provider,01/08/2025,,,
121,The Royal Borough of Windsor & Maidenhead,Royal Borough of Windsor and Maidenhead SCITT,SCITT,1WM,5629,10005550,,Accredited Provider,01/08/2025,,,
122,The Sea View Trust,Embrace SCITT,SCITT,"	4E5",5731,10060518,,Accredited Provider,01/08/2025,,,
123,The Spencer Academies Trust,George Spencer Academy SCITT,SCITT,1HR,5595,10058352,,Accredited Provider,01/08/2025,,,
124,The University of Reading,University of Reading,HEI,R12,1559,10007802,,Accredited Provider,01/08/2025,,,
125,The Willow Learning Trust,Sutton SCITT,SCITT,1ZW,5651,10058739,,Accredited Provider,01/08/2025,,,
126,Truro & Penwith College,Cornwall School Centred Initial Teacher Training (Cornwall SCITT),SCITT,C79,5511,10007063,,Accredited Provider,01/08/2025,,,
127,Twyford CofE Academies Trust,Teach West London Teaching School Hub,SCITT,1KV,5737,10058781,,Accredited Provider,01/08/2025,,,
128,Twynham Learning,Bournemouth Bay Teacher Training Partnership,SCITT,B52,5575,10055369,,Accredited Provider,01/08/2025,,,
129,United Learning Trust,United Teaching National SCITT,SCITT,1A9,5674,10037395,,Accredited Provider,01/08/2025,,,
130,University College London (UCL),University College London (UCL),HEI,U80,1584,10007784,,Accredited Provider,01/08/2025,,,
131,University of Bedfordshire,University of Bedfordshire,HEI,B22,1582,10007152,,Accredited Provider,01/08/2025,,,
132,University of Birmingham,University of Birmingham,HEI,B32,1537,10006840,,Accredited Provider,01/08/2025,,,
133,University of Brighton,University of Brighton,HEI,B72,1538,10000886,,Accredited Provider,01/08/2025,,,
134,University of Bristol,University of Bristol,HEI,B78,1539,10007786,,Accredited Provider,01/08/2025,,,
135,University of Buckingham,University of Buckingham,HEI,2Z3,1581,10007787,,Accredited Provider,01/08/2025,,,
136,University of Cambridge,University of Cambridge,HEI,C05,1540,10007788,,Accredited Provider,01/08/2025,,,
137,University of Chester,University of Chester,HEI,C55,1507,10007848,,Accredited Provider,01/08/2025,,,
138,University of Chichester,University of Chichester,HEI,C58,1533,10007137,,Accredited Provider,01/08/2025,,,
139,University of Chichester Academy Trust,Portsmouth Primary SCITT,SCITT,P82,5532,10042780,,Accredited Provider,01/08/2025,,,
140,University of Derby,University of Derby,HEI,D39,1542,10007851,,Accredited Provider,01/08/2025,,,
141,University of East London,University of East London,HEI,E28,1545,10007144,,Accredited Provider,01/08/2025,,,
142,University of Exeter,University of Exeter,HEI,E84,1546,10007792,,Accredited Provider,01/08/2025,,,
143,University of Gloucestershire,University of Gloucestershire,HEI,G50,1547,10007145,,Accredited Provider,01/08/2025,,,
144,University of Hertfordshire,University of Hertfordshire,HEI,H36,1549,10007147,,Accredited Provider,01/08/2025,,,
145,University of Huddersfield,University of Huddersfield,HEI,H60,1550,10007148,,Accredited Provider,01/08/2025,,,
146,University of Leicester,University of Leicester,HEI,L34,1553,10007796,,Accredited Provider,01/08/2025,,,
147,University of Manchester,University of Manchester,HEI,M20,1554,10007798,,Accredited Provider,01/08/2025,,,
148,University of Newcastle Upon Tyne,Newcastle University,HEI,N21,1577,10007799,,Accredited Provider,01/08/2025,,,
149,University of Northampton,University of Northampton,HEI,N38,1534,10007138,,Accredited Provider,01/08/2025,,,
150,University of Northumbria at Newcastle,University of Northumbria,HEI,N77,1572,10001282,,Accredited Provider,01/08/2025,,,
151,University of Nottingham,University of Nottingham,HEI,N84,1555,10007154,,Accredited Provider,01/08/2025,,,
152,University of Oxford,University of Oxford,HEI,O33,1556,10007774,,Accredited Provider,01/08/2025,,,
153,University of Portsmouth,University of Portsmouth,HEI,P80,1558,10007155,,Accredited Provider,01/08/2025,,,
154,University of Sheffield,The University of Sheffield,HEI,S18,1560,10007157,,Accredited Provider,01/08/2025,,,
155,University of Southampton,University of Southampton,HEI,S27,1561,10007158,,Accredited Provider,01/08/2025,,,
156,University of St Mark and St John,Plymouth Marjon University,HEI,P63,1508,10037449,,Accredited Provider,01/08/2025,,,
157,University of Staffordshire,University of Staffordshire,HEI,S72,1531,10006299,,Accredited Provider,01/08/2025,,,
158,University of Sunderland,University of Sunderland,HEI,S84,1562,10007159,,Accredited Provider,01/08/2025,,,
159,University of Warwick,The University of Warwick,HEI,W20,1566,10007163,,Accredited Provider,01/08/2025,,,
160,University of Winchester,University of Winchester,HEI,W76,1514,10003614,,Accredited Provider,01/08/2025,,,
161,University of Wolverhampton,University of Wolverhampton,HEI,W75,1567,10007166,,Accredited Provider,01/08/2025,,,
162,University of Worcester,University of Worcester,HEI,W80,1535,10007139,,Accredited Provider,01/08/2025,,,
163,University of York,University of York,HEI,Y50,1568,10007167,,Accredited Provider,01/08/2025,,,
164,Wessex Learning Trust,Mid Somerset Consortium for Teacher Training,SCITT,M84,5604,10058347,,Accredited Provider,01/08/2025,,,
165,Weydon Multi Academy Trust,i2i Teaching Partnership SCITT,SCITT,24X,5657,10058582,,Accredited Provider,01/08/2025,,,
166,Xavier Catholic Education Trust,Xavier Teach SouthEast,SCITT,2EW,5709,10057399,,Accredited Provider,01/08/2025,,,
167,York St John University,York St John University,HEI,Y75,1569,10007713,,Accredited Provider,01/08/2025,,,
168,Bradford College,Bradford College,SCITT,B60,5564,10000840,,Accredited Provider,01/08/2025,,,
169,Brunel University London,Brunel University London,HEI,B84,1504,10000961,,Accredited Provider,01/08/2025,,,
170,Hazelwood Schools,Forest Independent Primary Collegiate,SCITT,F82,5517,10046090,,Accredited Provider,01/08/2025,,,
171,North East Learning Trust,North East SCITT,SCITT,L06,5609,10052835,,Accredited Provider,01/08/2025,,,
172,Worcestershire Hills Trust,Prince Henry’s High School and South Worcestershire SCITT,SCITT,2ET,5711,10058491,,Accredited Provider,01/08/2025,,,
173,Four Cs MAT,Teach East SCITT,SCITT,T11,5631,10058314,,Accredited Provider,01/08/2025,,,
174,University of Cumbria,University of Cumbria,HEI,C99,1529,10007842,,Accredited Provider,01/08/2025,,,
175,University of East Anglia,University of East Anglia,HEI,E14,1544,10007789,,Accredited Provider,01/08/2025,,,
176,University of Greenwich,University of Greenwich,HEI,G70,1548,10007146,,Accredited Provider,01/08/2025,,,
177,University of Sussex,University of Sussex,HEI,S90,1564,10007806,,Accredited Provider,01/08/2025,,,
178,University of the West of England,University of the West of England,HEI,B80,1565,10007164,,Accredited Provider,01/08/2025,,,
179,The Constellation Trust,Yorkshire and Humber Teacher Training,SCITT,2B2,5700,10058237,,Accredited Provider,01/08/2025,,,
180,3 18 Inspiring Futures,3 18 Inspiring Futures,School,1Q6,,10059785,,Training Partner,01/08/2025,,,
181,Abacus Belsize Primary School,Abacus Belsize Primary School,School,4A2,,10042333,,Training Partner,01/08/2025,,,
182,Academy Transformation Trust,Academy Transformation Trust,School,7D7,,10042700,,Training Partner,01/08/2025,,,
183,Achieve with TELA,Achieve with TELA,School,1R3,,10038162,,Training Partner,01/08/2025,,,
184,Acklam Grange School,Acklam Grange School,School,2FD,,10067565,,Training Partner,01/08/2025,,,
185,Active Teacher Training,Active Teacher Training,School,2KL,,10059514,,Training Partner,01/08/2025,,,
186,Ad Astra SCITT,Ad Astra SCITT,School,3A8,,10060899,,Training Partner,01/08/2025,,,
187,Advance Learning Partnership,Advance Learning Partnership,School,2AL,,10059549,,Training Partner,01/08/2025,,,
188,Advance Teacher Training,Advance Teacher Training,School,D5D,,10059545,,Training Partner,01/08/2025,,,
189,Agnus Dei Catholic Schools,Agnus Dei Catholic Schools,School,2BD,,10006280,,Training Partner,01/08/2025,,,
190,AIM Alliance Schools,AIM Alliance Schools,School,2FR,,10016231,,Training Partner,01/08/2025,,,
191,Aireborough Partnership,Aireborough Partnership,School,2JF,,10073040,,Training Partner,01/08/2025,,,
192,Aldridge Education,Aldridge Education,School,7A1,,10058195,,Training Partner,01/08/2025,,,
193,Aletheia Academies Trust,Aletheia Academies Trust,School,2T4,,10059352,,Training Partner,01/08/2025,,,
194,Alliance of Bristol Catholic Schools (ABCs),Alliance of Bristol Catholic Schools (ABCs),School,7A3,,10035687,,Training Partner,01/08/2025,,,
195,Alliance of Leading Learning,Alliance of Leading Learning,School,1HQ,,10007848,,Training Partner,01/08/2025,,,
196,All Saints Catholic Academy Trust,All Saints Catholic Academy Trust,School,5H5,,10059575,,Training Partner,01/08/2025,,,
197,All Saints RC School,All Saints RC School,School,2KH,,10000225,,Training Partner,01/08/2025,,,
198,Alpha Academies Trust,Alpha Academies Trust,School,5A4,,10058303,,Training Partner,01/08/2025,,,
199,An Daras Trust,An Daras Trust,School,5D2,,10059966,,Training Partner,01/08/2025,,,
200,Aquila,Aquila,School,2CA,,10054668,,Training Partner,01/08/2025,,,
201,Arbib Education Trust,Arbib Education Trust,School,7A2,,10058188,,Training Partner,01/08/2025,,,
202,Archbishop Blanch School,Archbishop Blanch School,School,2KA,,10003957,,Training Partner,01/08/2025,,,
203,Archbishop Tenison’s CE High School,Archbishop Tenison’s CE High School,School,2P9,,10000344,,Training Partner,01/08/2025,,,
204,Arden Alliance,Arden Alliance,School,2BU,,10031562,,Training Partner,01/08/2025,,,
205,Arthur Terry School,Arthur Terry School,School,1QN,,10034759,,Training Partner,01/08/2025,,,
206,Ascend Learning Trust,Ascend Learning Trust,School,4A5,,10058663,,Training Partner,01/08/2025,,,
207,Ashcroft Technology Academy,Ashcroft Technology Academy,School,4E8,,10021078,,Training Partner,01/08/2025,,,
208,Ashdene Primary School,Ashdene Primary School,School,3A6,,10074366,,Training Partner,01/08/2025,,,
209,Ashfield School ITT,Ashfield School ITT,School,2L9,,10036962,,Training Partner,01/08/2025,,,
210,Ashmole Academy (North London Teaching Alliance),Ashmole Academy (North London Teaching Alliance),School,1P2,,10031563,,Training Partner,01/08/2025,,,
211,Ashton Teacher Training Partnership,Ashton Teacher Training Partnership,School,29O,,10082366,,Training Partner,01/08/2025,,,
212,Aspirations Academies Trust,Aspirations Academies Trust,School,2O1,,10088769,,Training Partner,01/08/2025,,,
213,Aspire Academy Trust,Aspire Academy Trust,School,2HB,,10058372,,Training Partner,01/08/2025,,,
214,Aspire Basingstoke,Aspire Basingstoke,School,28R,,10054050,,Training Partner,01/08/2025,,,
215,Aspire Teacher Training,Aspire Teacher Training,School,1XQ,,10005790,,Training Partner,01/08/2025,,,
216,ASSET Education,ASSET Education,School,146,,10048992,,Training Partner,01/08/2025,,,
217,Aston Community Education Trust,Aston Community Education Trust,School,17U,,10005790,,Training Partner,01/08/2025,,,
218,Astra Aylesbury Hub,Astra Aylesbury Hub,School,2KM,,10032610,,Training Partner,01/08/2025,,,
219,Astrea Academy Trust,Astrea Academy Trust,School,3A9,,10067898,,Training Partner,01/08/2025,,,
220,Authentic Education Training school,Authentic Education Training school,School,135,,10003614,,Training Partner,01/08/2025,,,
221,Avanti Schools Trust,Avanti Schools Trust,School,4A3,,10058487,,Training Partner,01/08/2025,,,
222,Avenue Primary Academy,Avenue Primary Academy,School,1J3,,10053779,,Training Partner,01/08/2025,,,
223,Balcarras Teaching School Hub,Balcarras Teaching School Hub,School,14B,,10032991,,Training Partner,01/08/2025,,,
224,Bannockburn Primary School,Bannockburn Primary School,School,200,,Not found,,Training Partner,01/08/2025,,,
225,Barking Abbey SCITT,Barking Abbey SCITT,School,5B1,,10000527,,Training Partner,01/08/2025,,,
226,Barr Beacon School,Barr Beacon School,School,1BB,,10034154,,Training Partner,01/08/2025,,,
227,Basingstoke Alliance SCITT,Basingstoke Alliance SCITT,School,1KH,,10034865,,Training Partner,01/08/2025,,,
228,BBL Teacher Training,BBL Teacher Training,School,4A7,,10067010,,Training Partner,01/08/2025,,,
229,BCCET Teacher Training Partnership,BCCET Teacher Training Partnership,School,2B8,,10061060,,Training Partner,01/08/2025,,,
230,Beal High School (NELTA),Beal High School (NELTA),School,1NA,,Not found,,Training Partner,01/08/2025,,,
231,Beaulieu Park Primary School,Beaulieu Park Primary School,School,3B2,,10092263,,Training Partner,01/08/2025,,,
232,Beckfoot Trust Teacher Training,Beckfoot Trust Teacher Training,School,1MU,,10059960,,Training Partner,01/08/2025,,,
233,BEC Teacher Training,BEC Teacher Training,School,B28,5503,10058882,,Training Partner,01/08/2025,,,
234,Bedgrove Infant School,Bedgrove Infant School,School,1YP,,10078291,,Training Partner,01/08/2025,,,
235,Beech Hill,Beech Hill,School,14G,,10063983,,Training Partner,01/08/2025,,,
236,Bellevue Place SCITT,Bellevue Place SCITT,School,3V4,,10059611,,Training Partner,01/08/2025,,,
237,Benfleet TSA (Teacher Training),Benfleet TSA (Teacher Training),School,1JH,,10033256,,Training Partner,01/08/2025,,,
238,Bengeworth Multi Academy Trust,Bengeworth Multi Academy Trust,School,2JC,,10046169,,Training Partner,01/08/2025,,,
239,Benton Dene School,Benton Dene School,School,18O,,10077003,,Training Partner,01/08/2025,,,
240,Berlesduna Academy Trust Teacher Training,Berlesduna Academy Trust Teacher Training,School,2D6,,10057789,,Training Partner,01/08/2025,,,
241,Billericay School,Billericay School,School,1PT,,10034119,,Training Partner,01/08/2025,,,
242,Bingley Grammar Teacher Training,Bingley Grammar Teacher Training,School,2BP,,10000697,,Training Partner,01/08/2025,,,
243,Birkenhead North Schools Partnership,Birkenhead North Schools Partnership,School,2F7,,10074953,,Training Partner,01/08/2025,,,
244,Bishop Challoner Catholic College,Bishop Challoner Catholic College,HEI,6K6,,10000722,,Training Partner,01/08/2025,,,
245,Bishop’s Stortford Initial Teacher Training,Bishop’s Stortford Initial Teacher Training,School,13E,,10059068,,Training Partner,01/08/2025,,,
246,Bishop’s Stortford SCITT,Bishop’s Stortford SCITT,School,26T,5686,10059068,,Training Partner,01/08/2025,,,
