provider_import_notes,provider__operating_name,provider__legal_name,provider__ukprn,provider__urn,provider__code,provider__accreditation_status,accreditation__number,accreditation__start_date,accreditation__end_date,provider__provider_type,address__address_line_1,address__address_line_2,address__address_line_3,address__town_or_city,address__county,address__postcode,address__latitude,address__longitude,address__note,provider__academic_years_active,provider__academic_year_code,address__uprn,address__latitude_2,address__longitude_2,row_type,address__found,model_fields,os_fields,provider__provider_details_for_name,provider__provider_trading_names
match:market_reg:accreditation,Middlesex University,Middlesex University,10004351,,M80,accredited,1571,2024-08-01T00:00:00Z,,hei,The Burroughs,,,London,,NW4 4BT,51.5901102,-0.228922,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,200114148,51.5901102,-0.228922,updated,true,,,MIDDLESEX UNIVERSITY,
match:market_reg:accreditation,Mulberry College of Teaching,Mulberry Schools Trust,10064234,,5V5,accredited,5727,2024-08-01T00:00:00Z,,scitt,Mulberry School,Richard Street,,London,,E1 2JP,51.514272,-0.059807,,"2026,2025,2024,2023",2026,6014338,51.5143048,-0.0602516,original,true,,,MULBERRY SCHOOLS TRUST,Mulberry Schools Trust (Academy Trust)
match:market_reg:accreditation,NE SCITT,North East Learning Trust,10052835,136451,L06,accredited,5609,2026-08-01T00:00:00Z,,scitt,Passfield Way,,,Peterlee,,SR8 1AU,54.749467,-1.353687,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,100110772361,54.749467,-1.353687,updated,true,,,NORTH EAST LEARNING TRUST,North East Learning Trust (Academy Trust)
match:market_reg:accreditation,"NITE: National Institute of Teaching & Education, part of Coventry University Group",Coventry University,10001726,,C85,accredited,1585,2024-08-01T00:00:00Z,,hei,Fleming House,Seebeck Place,Knowlhill,Milton Keynes,,MK5 8FR,52.0258176,-0.7733823,,"2026,2025,2024,2023,2022,2021,2020",2026,25120000,52.0258176,-0.7733823,updated,true,provider__legal_name,organisation_name,COVENTRY UNIVERSITY,
match:market_reg:accreditation,National Specialist SCITTs,Chorus Education Trust,10060171,,2F1,accredited,5716,2024-08-01T00:00:00Z,,scitt,Bents Crescent,"",,Sheffield,,S11 9QH,53.351204,-1.529031,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,10024195116,53.3509736,-1.5285217,original,true,,,CHORUS EDUCATION TRUST,CHORUS EDUCATION TRUST (Academy Trust)National Specialist SCITTsNML SCITTNMAP SCITTSouth Yorkshire Teaching HubSheffield Teacher Training Alliance
match:market_reg:accreditation,Norfolk Teacher Training Centre,City College Norwich,10004772,,N43,accredited,5627,2024-08-01T00:00:00Z,,scitt,"5, Ipswich Road",,,Norwich,,NR2 2LJ,52.6176581,1.2853557,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,200004362909,52.6176581,1.2853557,updated,true,,,CITY COLLEGE NORWICH,
match:market_reg:accreditation,"Norfolk, Essex and Suffolk Teacher Training (NESTT)",Suffolk County Council,10006399,,S14,accredited,5541,2024-08-01T00:00:00Z,,scitt,120 Star Lane,,,Ipswich,Suffolk,IP4 1JN,52.0537304,1.1624869,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,,52.0537304,1.1624869,original,,,,SUFFOLK COUNTY COUNCIL,Suffolk and Norfolk SCITT
match:market_reg:accreditation,North Lincolnshire SCITT Partnership,North Lincolnshire Council,10004694,,N66,accredited,5590,2024-08-01T00:00:00Z,,scitt,Grammar School Road,,,Brigg,,DN20 8AA,53.5543858,-0.4895621,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,100051972594,53.5543858,-0.4895621,updated,true,address__address_line_1,organisation_name,NORTH LINCOLNSHIRE COUNCIL,
match:market_reg:accreditation,North Tyneside SCITT,Pele Trust,10004714,,N73,accredited,5567,2024-08-01T00:00:00Z,,scitt,North Tyneside Council,Quadrant,"The Silverlink North, Cobalt Business Park",North Tyneside,Tyne and Wear,NE27 0BY,55.025416,-1.511448,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,,54.9880413,-1.5298788,original,true,,,NORTH TYNESIDE METROPOLITAN BOROUGH COUNCIL,North Tyneside Adult Learning Service
match:market_reg:accreditation,Northampton Teacher Training Partnership,Northampton School for Boys,10031382,,N42,accredited,5527,2024-08-01T00:00:00Z,,scitt,Billing Road,,,Northampton,,NN1 5RT,52.239253,-0.8666106,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,15028789,52.239253,-0.8666106,updated,true,,,NORTHAMPTON SCHOOL FOR BOYS,
