provider_import_notes,provider__operating_name,provider__legal_name,provider__ukprn,provider__urn,provider__code,provider__accreditation_status,accreditation__number,accreditation__start_date,accreditation__end_date,provider__provider_type,address__address_line_1,address__address_line_2,address__address_line_3,address__town_or_city,address__county,address__postcode,address__latitude,address__longitude,address__note,provider__academic_years_active,provider__academic_year_code,address__uprn,address__latitude_2,address__longitude_2,row_type,address__found,model_fields,os_fields,provider__provider_details_for_name,provider__provider_trading_names
unaacredited,University Centre Grimsby,,,,G80,unaccredited,,,,school,Laceby Road,,,Grimsby,,DN34 5BQ,53.553738,-0.091935,,"2021,2020,2019",2021,11001905,53.553738,-0.091935,updated,true,,,,
unaacredited,University Centre Leeds,,10024962,135771,3E3,unaccredited,,,,school,Park Lane,,,Leeds,,LS3 1AA,53.800345,-1.5571032,,"2024,2023",2024,72153600,53.800345,-1.5571032,updated,true,,,LUMINATE EDUCATION GROUP,
unaacredited,University College Birmingham,,10000712,133785,B35,unaccredited,,,,hei,Summer Row,,,Birmingham,,B3 1JB,52.4813851,-1.9063332,,"2024,2023,2022,2021,2020,2019",2024,100071450602,52.4813851,-1.9063332,updated,true,,,UNIVERSITY COLLEGE BIRMINGHAM,
unaacredited,University College London (UCL),,,,I30,unaccredited,,,,school,Gower Street,,,London,,WC1E 6BT,51.5229173,-0.1279273,missing address__town_or_city,"2020,2019",2020,5148596,51.5229173,-0.1279273,updated,true,,,,
unaacredited,University of Bath,,10007850,133789,B16,unaccredited,,,,hei,The Avenue,Claverton Down,,Bath,,BA2 7AY,51.380447,-2.3285633,,"2021,2020,2019",2021,10001146152,51.380447,-2.3285633,updated,true,,,THE UNIVERSITY OF BATH,University of BathThe University of Bath
unaacredited,"University of Buckingham, Faculty of Education",,10007787,,7O7,unaccredited,,,,hei,,,,,,,52.1866982,0.1368386,"missing address__address_line_1,missing address__town_or_city,missing address__postcode",2022,2022,,52.1866982,0.1368386,original,,,,THE UNIVERSITY OF BUCKINGHAM,University of Buckingham
unaacredited,University of Central Lancashire,,10007141,133869,C30,unaccredited,,,,hei,Fylde Road,,,Preston,England - North West,PR1 2HE,53.7641378,-2.7092453,,"2021,2020",2021,,53.7641378,-2.7092453,original,address_line_1 has issues,,,UNIVERSITY OF LANCASHIRE,
unaacredited,University of Chester Academies Trust,,,,1PB,unaccredited,,,,school,Ms Carrie Coxhead. Education Admin,82 Northgate Street,,Chester,,CH1 2HT,53.1926436,-2.89245,,"2021,2020,2019",2021,,53.1926436,-2.89245,original,,,,,
unaacredited,University of Dundee,,,,D65,unaccredited,,,,hei,Perth Road,,,Dundee,,DD1 4HN,56.4582447,-2.9821428,,"2021,2020,2019",2021,9059063997,56.4582447,-2.9821428,updated,true,,,,
unaacredited,University of Glasgow,,,,G28,unaccredited,,,,hei,St. Andrews Building,"11, Eldon Street",,Glasgow,,G3 6NH,55.8717315,-4.2796212,,"2021,2020,2019",2021,906700379036,55.8717315,-4.2796212,updated,true,,,,
unaacredited,University of Hull,,10007149,,H72,unaccredited,,,,hei,Cottingham Road,,,Hull,,HU6 7RX,53.7703354,-0.3691145,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,21113811,53.7703354,-0.3691145,updated,true,,,THE UNIVERSITY OF HULL,University of Hull
unaacredited,University of Plymouth,,10007801,133865,P60,unaccredited,,,,hei,Drake Circus,,,Plymouth,,PL4 8AA,50.3766065,-4.1380195,,"2026,2025,2024,2023,2022,2021,2020,2019",2026,100041062191,50.3766065,-4.1380195,updated,true,,,UNIVERSITY OF PLYMOUTH,
unaacredited,"University of South Wales (formerly University of Wales, Newport)",,,,N37,unaccredited,,,,hei,Caerleon Campus,Lodge Road,,Caerleon,"Newport, (Wales)",NP18 3QT,51.6165833,-2.9621179,,"2021,2020,2019",2021,,51.6165833,-2.9621179,original,,,,,
unaacredited,University of Wales Trinity Saint David (UWTSD Swansea),,,,S96,unaccredited,,,,hei,Mount Pleasant Campus,Swansea,,,,SA1 6ED,51.6200799,-3.9324612,missing address__town_or_city,"2021,2020,2019",2021,,51.6200799,-3.9324612,original,,,,,
unaacredited,University of the Highlands and Islands,,,,H49,unaccredited,,,,hei,Ness Walk,Inverness,,,,IV3 5SQ,57.4750519,-4.1822156,missing address__town_or_city,"2021,2020,2019",2021,,57.4750519,-4.1822156,original,,,,,
unaacredited,University of the West of Scotland,,,,U40,unaccredited,,,,hei,High Street,,,Paisley,,PA1 2BE,55.8440749,-4.4303226,,"2021,2020,2019",2021,123094834,55.8440749,-4.4303226,updated,true,,,,
unaacredited,Uplands Primary School and Nursery - Forest Learning Alliance,,10007802,109847,4L4,unaccredited,,,,school,Albion Road,,,Sandhurst,,GU47 9BP,51.3479461,-0.7987065,,2023,2023,200000331505,51.3479461,-0.7987065,updated,true,address__address_line_1,address_line_1,THE UNIVERSITY OF READING,University of Reading
unaacredited,Ursuline College,,10048333,141628,1MZ,unaccredited,,,,school,"225, Canterbury Road",,,Westgate On Sea,,CT8 8LX,51.3778005,1.327563,missing address__town_or_city,"2021,2020,2019",2021,200003078464,51.3778005,1.327563,updated,true,provider__operating_name,organisation_name,URSULINE COLLEGE,
unaacredited,Vale Of Evesham School,,10087362,148347,1OW,unaccredited,,,,school,Four Pools Lane,,,Evesham,,WR11 1BN,52.0838045,-1.9387816,missing address__town_or_city,"2021,2020,2019",2021,100121280012,52.0838045,-1.9387816,updated,true,provider__operating_name,organisation_name,VALE OF EVESHAM SCHOOL,
unaacredited,Victoria Park Primary,,10036506,138033,173,unaccredited,,,,school,"99, Ballot Street",,,Smethwick,,B66 3HH,52.4904635,-1.9618802,missing address__town_or_city,"2021,2020,2019",2021,32148919,52.4904635,-1.9618802,updated,true,,,VICTORIA PARK PRIMARY,
unaacredited,Wadsworth Field Primary School,,,,1CE,unaccredited,,,,school,Wadsworth Road,Stapleford,,,Nottingham,NG9 8BD,52.9343148,-1.2609062,missing address__town_or_city,"2021,2020,2019",2021,,52.9343148,-1.2609062,original,,,,,
unaacredited,Wakefield City Academy,,,,284,unaccredited,,,,school,Warmfield View,,,Wakefield,,WF1 4SF,53.6885686,-1.4759123,,"2021,2020,2019",2021,63154428,53.6885686,-1.4759123,updated,true,,,,
unaacredited,Wakefield Regional Partnership For Initial Teacher Training,,,,W09,unaccredited,,,,school,Chesneys Centre,Regent Street,,Featherstone,West Yorkshire,WF7 5EW,53.6776477,-1.3569598,,"2021,2020,2019",2021,,53.6776477,-1.3569598,original,,,,,
unaacredited,Walderslade Girls' School,,10035669,137630,1TY,unaccredited,,,,school,Bradfields Avenue,,,Chatham,,ME5 0LE,51.3510754,0.5258716,missing address__town_or_city,"2021,2020,2019",2021,44033856,51.3510754,0.5258716,updated,true,address__address_line_1,address_line_1,WALDERSLADE GIRLS' SCHOOL,
unaacredited,Walsall Nursery School Alliance,,,,29G,unaccredited,,,,school,Brickiln St,Brownhills,,Walsall,,WS8 6AU,52.6465323,-1.9296464,,"2021,2020,2019",2021,,52.6465323,-1.9296464,original,,,,,
unaacredited,Walton High School,,10057190,142987,15P,unaccredited,,,,school,The Rise,,,Stafford,,ST17 0LJ,52.7862428,-2.0703703,missing address__town_or_city,"2021,2020,2019",2021,100032203518,52.7862428,-2.0703703,updated,true,,,WALTON HIGH SCHOOL,
unaacredited,Warden Park School,,10035029,137416,17V,unaccredited,,,,school,Broad Street,Cuckfield,,Haywards Heath,,RH17 5DP,51.0043,-0.13388,,"2021,2020,2019",2021,100062485998,51.0043,-0.13388,updated,true,,,WARDEN PARK SECONDARY ACADEMY,
